,conteudo,acordao,dia
10, acórdão 7574 natureza do processo 13967201050 tce c02 volumes e 02 anexosassunto prestação de contas do fundo de desenvolvimentocientífico e tecnológico fdct exercício de 2009 responsável senhor joão césar dottorelatora conselheira naluh maria lima gouveia dos santosprestação de contas fundo de desenvolvimento científico e tecnológicoregularidade comunicação desta decisão ao atual gestor ao senhorgovernador do estado e ao senhor presidente da assembléia legislativaarquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora 1 considerar regulara prestação de contas em epígrafe de responsabilidade do senhor joão césardotto diretorpresidente com fulcro no inciso i do art 51 da lei complementarestadual 38932 comunicar o atual gestor do fundo de desenvolvimentocientífico e tecnológico sobre o teor desta decisão e 3 comunicar o apuradodesta decisão ao senhor governador do estado e ao senhor presidente daassembleia legislativa após as formalidades de estilo pelo arquivamento doprocesso ausentes justificadamente os excelentíssimos senhores conselheirosantônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira naluh maria lima gouveia dos santosrelatorafui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7574,02/02/2012
11, acórdão 7575 natureza do processo 14612201120 tceassunto relatório de gestão fiscal da prefeitura municipal dejordão relativo ao 3 quadrimestre de 2010 responsável senhor hilário de holanda melorelatora conselheira naluh maria lima gouveia dos santosrelatório de gestão fiscal prefeitura municipal abertura de processoautônomo para fins de apuração de responsabilidade sobre o conteúdo desterelatório com fulcro no inciso i do art 5 da lei federal 100282000 apensamento destes autos ao processo de prestação de contas do exercíciode 2010 vistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora 1 abrir processoautônomo para fins de apuração de responsabilidade sobre o conteúdo desterelatório com fulcro no inciso i do art 5 da lei federal 100282000 e 2 apensar estes autos ao processo de prestação de contas do exercício de 2010 dacâmara municipal de jordão para efeito de comparação das informaçõespertinentes ausentes justificadamente os excelentíssimos senhores conselheirosantônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira naluh maria lima gouveia dos santosrelatorafui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7575,02/02/2012
12, acórdão 7915 natureza do processo 13835201050 tce c08 anexosassunto prestação de contas do fundo municipal dos direitos dacriança e do adolescente exercício de 2009 responsáveisrelatorsenhores estefânia maria pereira pontes josé fernandesdo rêgo maria janete sousa dos santos e moacir fecuryferreira da silvaconselheiro josé augusto araújo de fariaprestação de contas fundo municipal dos direitos da criança e doadolescente inconsistência apontada no inventário dos bens móveis e nobalanço patrimonial regularidade com ressalvavistos relatados e discutidos os autos do processoacima identificado acordam os membros do tribunal de contas do estado doacre à unanimidade nos termos do voto do conselheirorelator considerarregular com ressalva a prestação de contas do fundo municipal dos direitos dacriança e do adolescente exercício orçamentário e financeiro de 2009 deresponsabilidade da senhora estefânia maria pereira pontes secretáriamunicipal e dos secretários municipais em exercício senhor josé fernandes dorêgo senhora maria janete souza dos santos e senhor moacir fecury ferreirada silva com fulcro no inciso iii do art 51 da lei complementar estadual n3893 em face da inconsistência apontada no inventário dos bens móveis e nobalanço patrimonial tendo em vista que essas alterações realizadas não vieramacompanhadas de notas explicativas após as formalidades de estilo peloarquivamento do processo rio branco 04/10/2012 conselheiro ronald polanco ribeiro presidente do tceac conselheiro josé augusto araújo de fariarelator,7915,04/10/2012
13, acórdão 7577 natureza do processo 1734220053 tceassunto prestação de contas do fundo de pesquisa e preservaçãodo patrimônio histórico e cultural do acre exercício de2004 responsáveis senhores jorge henrique b de queiroz e franciscogregório da silva filhorelator conselheiro josé augusto araújo de fariaprestação de contas fundo de pesquisa e preservação do patrimôniohistórico e cultural do acre ocorrência de pagamento em descordo comrecursos do fundo falta de envio da fundamentação legal pararecrutamento de pessoal por meio de grupo de trabalho irregularidadenotificação não aplicação de multa ausência de contraditórioarquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator 1 considerar irregulara prestação de contas em epígrafe de responsabilidade dos senhores jorgehenrique b de queiroz período de 01012004 a 17052004 e franciscogregório da silva filho período de 17052004 a 31122004 diretorespresidentes à época com fulcro na alínea b do inciso iii do art 51 da leicomplementar estadual 3893 em face de aocorrência de pagamento emdescordo com recursos do fundo contrariando a lei estadual 129499 bfaltade envio da fundamentação legal para recrutamento de pessoal por meio de grupode trabalho 2 notificar o atual dirigente do fundo para que no prazo de 30 trintadias a contar desta notificação promova a regulamentação exigida pelo caput doart 38 da lei 129499 e 3 não aplicar multa ao senhor francisco gregório dasilva filho posto que outras faltas foram levantadas sem oportunidade decontraditório uma vez que o respectivo mandado foi endereçado ao senhor danielqueiroz de santana fls 148149 estando prescrita a medida segundo ajurisprudência da corte após as formalidades de estilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro josé augusto araújo de fariarelator,7577,09/02/2012
14, acórdão 7782 natureza do processo 17855200608 tce c02 volumes e 02 anexosassunto prestação de contas do fundo estadual de saúde fundes exercício de 2005 responsável senhora suely de souza melo da costarelator conselheiro valmir gomes ribeiro prestação de contas fundo estadual de saúde ausência de assinatura doresponsável pela contabilidade nos demonstrativos divergência nos valores dasmutações patrimoniais divergência na inscrição de restos a pagar com odemonstrado na relação de empenhos a pagar contratação de pessoal portempo determinado sem a devida fundamentação regularidade com ressalvavistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas do fundo estadual de saúde fundes exercício orçamentário e financeiro de 2005 de responsabilidade da senhora suelyde souza melo da costa secretária de estado de saúde à época com fulcro noinciso ii do art 51 da lce 3893 valendo como ressalva a aausência deassinatura do responsável pela contabilidade nos demonstrativos ba divergêncianos valores das mutações patrimoniais c a divergência na inscrição de restos apagar com o demonstrado na relação de empenhos a pagar e da contratação depessoal por tempo determinado sem a devida fundamentação após asformalidades de estilo pelo arquivamento do processo ausente justificadamente o excelentíssimo senhor conselheiropresidente ronald polancoribeiro rio branco 14/06/2012 conselheira dulcinéa benício de araújo presidenta em exercício do tceacre conselheiro valmir gomes ribeiro relatorfui presente joão izidro de melo neto procuradorchefe do mpetceacre,7782,14/06/2012
15, acórdão 7578 natureza do processo 17867200600 tceassunto prestação de contas do fundo de pesquisa e preservaçãodo patrimônio histórico e cultural do acre exercício de2005 responsável senhor francisco gregório da silva filhorelator conselheiro josé augusto araújo de fariaprestação de contas fundo de pesquisa e preservação do patrimôniohistórico e cultural do acre não confirmação da incorporação dos bensadquiridos pelo fundo de pesquisa e preservação do patrimônio histórico ecultural do estado do acre no exercício e incorporado ao patrimônio dafundação elias mansour regularidade com ressalva arquivamento doprocessovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade do senhorfrancisco gregório da silva filho presidente à época com fulcro no inciso ii doart 51 da lei complementar estadual 3893 valendo como ressalva a nãoconfirmação da incorporação dos bens adquiridos pelo fundo de pesquisa epreservação do patrimônio histórico e cultural do estado do acre no exercício eincorporado ao patrimônio da fundação elias mansour após as formalidades deestilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro josé augusto araújo de fariarelatorfui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7578,09/02/2012
16, acórdão 7785 natureza do processo 13986201020 tce c 02 anexosassunto prestação de contas da secretaria de estado de floresta sef exercício de 2009 responsável senhor carlos ovídio duarte rocharelator conselheiro antonio cristovão correia de messias prestação de contas secretaria de estado de floresta falhas formaisregularidade com ressalva correção do saldo patrimonial notificaçãoregistro e autuação de processo em separado para análise da documentaçãoconstante do anexo ii que trata da prestação de contas do fundo estadualde floresta exercício de 2009 vistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator 1 considerar regularcom ressalva a prestação de contas da secretaria de estado de floresta exercícioorçamentário e financeiro de 2009 de responsabilidade do senhor carlos ovídioduarte rocha secretário de estado à época com fulcro no inciso ii do art 51 dalei complementar estadual 3893 valendo como ressalva as falhas formaisapontadas pela 1 igce fls 235 a 2392 notificar o atual gestor para no prazode 60 sessenta dias tomar conhecimento do apurado e demonstrar a estetribunal de contas a correção do saldo patrimonial sob pena de responsabilidadelce 3893 art 89 inciso vii 3 registrar e autuar processo em separado para análise da documentação constante do anexo ii que trata da prestação decontas do fundo estadual de floresta exercício de 2009 após as formalidades deestilo pelo arquivamento do processo ausente justificadamente o excelentíssimosenhor conselheiropresidente ronald polancoribeiro rio branco 14/06/2012 conselheira dulcinéa benício de araújo presidenta em exercício do tceacre conselheiro antonio cristovão correia de messias relatorfui presente joão izidro de melo neto procuradorchefe do mpetceacre,7785,14/06/2012
17, acórdão 7581 natureza do processo 18691200707 tce c01 anexo assunto prestação de contas do instituto de terras do acre iteracre exercício de 2006 responsável senhor josé henrique corintorelator conselheiro valmir gomes ribeiroprestação de contas instituto de terras do acre divergência do valor daprevisão da receita no balanço orçamentário e a dotação inicial disposta nodemonstrativo dos créditos adicionais regularidade arquivamento doprocessovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade do senhorjosé henrique corinto de moura diretorpresidente à época com fulcro noinciso ii do art 51 da lei complementar estadual 3893 valendo como ressalvaa divergência do valor da previsão da receita no balanço orçamentário e a dotaçãoinicial disposta no demonstrativo dos créditos adicionais após as formalidades deestilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro valmir gomes ribeirorelatorfui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7581,09/02/2012
18, acórdão 7785 natureza do processo 13986201020 tce c 02 anexosassunto prestação de contas da secretaria de estado de floresta sef exercício de 2009 responsável senhor carlos ovídio duarte rocharelator conselheiro antonio cristovão correia de messias prestação de contas secretaria de estado de floresta falhas formaisregularidade com ressalva correção do saldo patrimonial notificaçãoregistro e autuação de processo em separado para análise da documentaçãoconstante do anexo ii que trata da prestação de contas do fundo estadualde floresta exercício de 2009 vistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator 1 considerar regularcom ressalva a prestação de contas da secretaria de estado de floresta exercícioorçamentário e financeiro de 2009 de responsabilidade do senhor carlos ovídioduarte rocha secretário de estado à época com fulcro no inciso ii do art 51 dalei complementar estadual 3893 valendo como ressalva as falhas formaisapontadas pela 1 igce fls 235 a 2392 notificar o atual gestor para no prazode 60 sessenta dias tomar conhecimento do apurado e demonstrar a estetribunal de contas a correção do saldo patrimonial sob pena de responsabilidadelce 3893 art 89 inciso vii 3 registrar e autuar processo em separado para análise da documentação constante do anexo ii que trata da prestação decontas do fundo estadual de floresta exercício de 2009 após as formalidades deestilo pelo arquivamento do processo ausente justificadamente o excelentíssimosenhor conselheiropresidente ronald polancoribeiro rio branco 14/06/2012 conselheira dulcinéa benício de araújo presidenta em exercício do tceacre conselheiro antonio cristovão correia de messias relatorfui presente joão izidro de melo neto procuradorchefe do mpetceacre,7785,14/06/2012
19, acórdão 7582 natureza do processo 18840200775 tceassunto prestação de contas da secretaria de extrativismo eprodução familiar do estado do acre seprof exercíciode 2006 responsável senhora denise regina garrafielrelator conselheiro valmir gomes ribeiroprestação de contas secretaria de extrativismo e produção familiar doestado do acre ausência do nome e assinatura do responsável pelacontabilidade ausência dos atos que designaram as comissões paraproceder ao inventário anual e do inventário geral de bens móveisdivergência de valores entre a variação constante do anexo 14 a e oinventário físico regularidade com ressalva arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade da senhoradenise regina garrafiel secretária de estado com fulcro no inciso ii do art 51 da lei complementar estadual 3893 valendo como ressalva a ausência donome e assinatura do responsável pela contabilidade dos atos que designaram ascomissões para proceder ao inventário anual e do inventário geral de bens móveise a divergência de valores entre a variação constante do anexo 14 a fl 154 e oinventário físico após as formalidades de estilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro valmir gomes ribeirorelatorfui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7582,09/02/2012
20, acórdão 7585 natureza do processo 13853201010 tceassunto prestação de contas da câmara municipal de xapuri exercício de 2009 responsável senhor ronaldo cosmo ferrazrelator conselheiro antônio jorge malheiroprestação de contas câmara municipal não apresentação dodemonstrativo das licitações realizadas no exercício e do demonstrativo doscontratos e acordos celebrados regularidade com ressalva arquivamentodo processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade do senhorronaldo cosmo ferraz presidente com fulcro no inciso ii do art 51 da lce 3893 valendo como ressalva a não apresentação do demonstrativo das licitaçõesrealizadas no exercício e do demonstrativo dos contratos e acordos celebradosapós as formalidades de estilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro antônio jorge malheiro relatorfui presente joão izidro de melo netoprocuradorchefe do mpetceacre,7585,09/02/2012
21, acórdão 7586 natureza do processo 12190200880 tceassunto prestação de contas do corpo de bombeiros militar doestado do acre exercício de 2007 responsável senhor josé henrique barbosa de albuquerquerelator conselheiro antônio jorge malheiroprestação de contas corpo de bombeiros militar do estado do acreapresentação de relatório circunstanciado incompleto ausência dodemonstrativo anual dos contratos e das licitações realizadas ausência dacópia dos atos que designaram as comissões para proceder ao inventárioanual do material permanente e de consumo não identificação dasdespesas do órgão com vencimentos e vantagens fixas regularidade comressalva arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalvas a prestação de contas em epígrafe de responsabilidade do senhorjosé henrique barbosa de albuquerque comandante geral com fulcro noinciso ii do art 51 da lce 3893 valendo como ressalvas aapresentação derelatório circunstanciado incompleto bausência do demonstrativo anual doscontratos e das licitações realizadas causência da cópia dos atos que designaramas comissões para proceder ao inventário anual do material permanente e deconsumo e dnão identificação das despesas do órgão com vencimentos evantagens fixas após as formalidades de estilo pelo arquivamento doprocesso rio branco 09/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro antônio jorge malheirorelatorfui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7586,09/02/2012
